id,observed_on,quality_grade,place_guess,private_place_guess,scientific_name,common_name,taxon_id,taxon_kingdom_name,taxon_subphylum_name,taxon_family_name
9040023,2016-07-03,research,"Coyote Hills Regional Park, Fremont, CA, USA",,Pelecanus erythrorhynchos,American White Pelican,4334,Animalia,Vertebrata,Pelecanidae
9040532,2017-11-12,research,"Mohihi Road, Kauai, HI, USA",,Copsychus malabaricus,White-rumped Shama,204490,Animalia,Vertebrata,Muscicapidae
9040581,2012-04-07,research,"Mission Peak Regional Preserve, Alameda County, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Vertebrata,Accipitridae
9040635,2017-06-04,research,"Five Canyons Open Space, Alameda County, CA, USA",,Cathartes aura,Turkey Vulture,4756,Animalia,Vertebrata,Cathartidae
9040681,2015-01-18,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",,Lynx rufus,Bobcat,41976,Animalia,Vertebrata,Felidae
9040715,2017-03-25,needs_id,"Purisima Creek Redwoods Open Space Preserve, San Mateo County, CA, USA",,Lumbricus terrestris,Common Earthworm,81545,Animalia,,Lumbricidae
9040775,2017-04-30,needs_id,"Rancho Cañada del Oro Open Space Preserve, San Jose, CA, USA",,Nemognathinae,,127903,Animalia,Hexapoda,Meloidae
9040914,2017-05-14,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Malacosoma constricta,Pacific Tent Caterpillar,477142,Animalia,Hexapoda,Lasiocampidae
9041113,2017-09-23,research,"Skyline to the Sea Trail, Castle Rock State Park, CA, USA",,Trimerotropis fontana,Fontana Grasshopper,155260,Animalia,Hexapoda,Acrididae
9041153,2017-05-14,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Hyles lineata,White-lined Sphinx,49348,Animalia,Hexapoda,Sphingidae
9041228,2017-08-18,needs_id,"California, US","Santa Clara, CA, USA",Lepidoptera,Butterflies and Moths,47157,Animalia,Hexapoda,
9041269,2017-06-14,research,"Yosemite Falls Trail, Yosemite National Park, CA, USA",,Plestiodon gilberti gilberti,Greater Brown Skink,115966,Animalia,Vertebrata,Scincidae
